Block No,Name,Location,Strength,Distribution
1,Block 301,301,39,10|10|9|10
10,Block 404,404,30,8|7|7|8
11,Block 406,406,30,8|7|7|8
12,Block 407,407,40,10|10|10|10
13,Block DSH-1,DSH-1,36,9|9|9|9
14,Block DSH-2A,DSH-2A,23,6|5|6
15,Block DSH-2B,DSH-2B,27,7|6|7|7
16,Block BM-01,BM-01,29,8|7|6|8
17,Block M-02,M-02,29,8|7|6|8
18,Block M-03,M-03,29,8|7|6|8
19,Block M101,M101,32,8|8|8|8
2,Block 302,302,39,10|10|9|10
20,Block M102,M102,32,8|8|8|8
21,Block M201,M201,32,8|8|8|8
22,Block M202,M202,32,8|8|8|8
23,Block M203,M203,30,8|7|7|8
24,Block M205,M205,18,6|6|6
25,Block M206,M206,18,6|6|6
26,Block M207,M207,28,7|7|7|7
27,Block M208,M208,28,7|7|7|7
28,Block MDH1A,MDH1A,32,8|8|8|8
29,Block MDH1B,MDH1B,21,7|7|7
3,Block 303,303,39,10|10|9|10
30,Block MDH2A,MDH2A,32,8|8|8|8
31,Block MDH2B,MDH2B,21,7|7|7
32,Block MSH1,MSH1,30,8|7|7|8
33,Block MSH2,MSH2,30,8|7|7|8
4,Block 305,305,40,10|10|10|10
5,Block 306,306,37,10|9|9|9
6,Block 307,307,39,10|10|9|10
7,Block 401,401,17,6|5|6
8,Block 402,402,31,8|8|7|8
9,Block 403,403,30,8|7|7|8